Plot,Species,Abundance,PID,Incidence,Longitude,Latitude,Range_Edge_Distance,Forest_Cover_Percentage,Edge_Dist_in_km,posdistancekm,sqrtdistancekmpos,sqrt_dist_edge,forest_cover_prop
10,artibeus.concolor,1,PID0058,1,-5074632.229,-106252.15,1035034.703,61.40670554,1035.034703,1035.034703,32.17195523,32.17195523,0.614067055
10,vampyressa.brocki,1,PID0058,1,-5074632.229,-106252.15,-500647.1145,61.40670554,-500.6471145,500.6471145,22.37514502,-22.37514502,0.614067055
10,choeroniscus.minor,0,PID0058,0,-5074632.229,-106252.15,398809.2401,61.40670554,398.8092401,398.8092401,19.97020881,19.97020881,0.614067055
10,micronycteris.schmidtorum,0,PID0058,0,-5074632.229,-106252.15,470860.7364,61.40670554,470.8607364,470.8607364,21.69932571,21.69932571,0.614067055
10,phylloderma.stenops,1,PID0058,1,-5074632.229,-106252.15,1264685.003,61.40670554,1264.685003,1264.685003,35.56240997,35.56240997,0.614067055
10,vampyrodes.caraccioli,0,PID0058,0,-5074632.229,-106252.15,566830.2103,61.40670554,566.8302103,566.8302103,23.80819628,23.80819628,0.614067055
10,carollia.brevicauda,17,PID0058,1,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,trinycteris.nicefori,0,PID0058,0,-5074632.229,-106252.15,123296.098,61.40670554,123.296098,123.296098,11.10387761,11.10387761,0.614067055
10,micronycteris.minuta,0,PID0058,0,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,artibeus.obscurus,6,PID0058,1,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,myotis.riparius,0,PID0058,0,-5074632.229,-106252.15,1450709.599,61.40670554,1450.709599,1450.709599,38.08818188,38.08818188,0.614067055
10,tonatia.schulzi,0,PID0058,0,-5074632.229,-106252.15,-141886.317,61.40670554,-141.886317,141.886317,11.9116043,-11.9116043,0.614067055
10,mimon.crenulatum,0,PID0058,0,-5074632.229,-106252.15,449846.9023,61.40670554,449.8469023,449.8469023,21.20959458,21.20959458,0.614067055
10,peropteryx.leucoptera,0,PID0058,0,-5074632.229,-106252.15,618703.0928,61.40670554,618.7030928,618.7030928,24.87374304,24.87374304,0.614067055
